Category: All categories

Month,data science: (United States)
2004-01,13
2004-02,10
2004-03,13
2004-04,10
2004-05,11
2004-06,7
2004-07,8
2004-08,3
2004-09,13
2004-10,12
2004-11,12
2004-12,7
2005-01,9
2005-02,13
2005-03,8
2005-04,9
2005-05,4
2005-06,7
2005-07,7
2005-08,7
2005-09,11
2005-10,10
2005-11,10
2005-12,9
2006-01,9
2006-02,6
2006-03,11
2006-04,8
2006-05,6
2006-06,5
2006-07,5
2006-08,7
2006-09,10
2006-10,7
2006-11,8
2006-12,4
2007-01,8
2007-02,6
2007-03,5
2007-04,7
2007-05,7
2007-06,5
2007-07,6
2007-08,6
2007-09,8
2007-10,8
2007-11,8
2007-12,7
2008-01,8
2008-02,8
2008-03,7
2008-04,10
2008-05,7
2008-06,6
2008-07,4
2008-08,5
2008-09,9
2008-10,6
2008-11,9
2008-12,7
2009-01,9
2009-02,10
2009-03,7
2009-04,8
2009-05,6
2009-06,5
2009-07,6
2009-08,6
2009-09,12
2009-10,8
2009-11,9
2009-12,9
2010-01,9
2010-02,8
2010-03,6
2010-04,7
2010-05,8
2010-06,4
2010-07,4
2010-08,6
2010-09,12
2010-10,8
2010-11,9
2010-12,10
2011-01,8
2011-02,10
2011-03,8
2011-04,8
2011-05,9
2011-06,5
2011-07,5
2011-08,6
2011-09,13
2011-10,10
2011-11,11
2011-12,10
2012-01,12
2012-02,11
2012-03,11
2012-04,11
2012-05,9
2012-06,7
2012-07,7
2012-08,12
2012-09,16
2012-10,13
2012-11,12
2012-12,11
2013-01,14
2013-02,13
2013-03,12
2013-04,15
2013-05,15
2013-06,10
2013-07,10
2013-08,15
2013-09,23
2013-10,20
2013-11,19
2013-12,16
2014-01,24
2014-02,21
2014-03,21
2014-04,21
2014-05,21
2014-06,17
2014-07,19
2014-08,28
2014-09,37
2014-10,31
2014-11,27
2014-12,25
2015-01,32
2015-02,30
2015-03,31
2015-04,34
2015-05,33
2015-06,30
2015-07,31
2015-08,42
2015-09,51
2015-10,46
2015-11,38
2015-12,35
2016-01,44
2016-02,43
2016-03,42
2016-04,41
2016-05,41
2016-06,36
2016-07,36
2016-08,43
2016-09,57
2016-10,50
2016-11,48
2016-12,45
2017-01,59
2017-02,62
2017-03,63
2017-04,60
2017-05,57
2017-06,54
2017-07,55
2017-08,64
2017-09,71
2017-10,75
2017-11,68
2017-12,57
2018-01,73
2018-02,71
2018-03,69
2018-04,72
2018-05,69
2018-06,66
2018-07,64
2018-08,79
2018-09,89
2018-10,85
2018-11,76
2018-12,69
2019-01,86
2019-02,85
2019-03,86
2019-04,85
2019-05,76
2019-06,75
2019-07,74
2019-08,93
2019-09,100
2019-10,95
2019-11,86
2019-12,77
2020-01,93
2020-02,96
2020-03,75
2020-04,83
