Category: All categories

Month,matlab: (United States)
2004-01,68
2004-02,97
2004-03,87
2004-04,100
2004-05,70
2004-06,66
2004-07,72
2004-08,62
2004-09,89
2004-10,93
2004-11,78
2004-12,64
2005-01,64
2005-02,87
2005-03,76
2005-04,81
2005-05,67
2005-06,63
2005-07,59
2005-08,48
2005-09,72
2005-10,77
2005-11,68
2005-12,52
2006-01,54
2006-02,73
2006-03,67
2006-04,74
2006-05,54
2006-06,47
2006-07,45
2006-08,45
2006-09,62
2006-10,70
2006-11,58
2006-12,44
2007-01,47
2007-02,64
2007-03,57
2007-04,64
2007-05,48
2007-06,46
2007-07,43
2007-08,43
2007-09,60
2007-10,69
2007-11,60
2007-12,44
2008-01,49
2008-02,68
2008-03,57
2008-04,67
2008-05,51
2008-06,47
2008-07,46
2008-08,39
2008-09,64
2008-10,70
2008-11,65
2008-12,49
2009-01,53
2009-02,80
2009-03,69
2009-04,77
2009-05,55
2009-06,56
2009-07,57
2009-08,48
2009-09,78
2009-10,84
2009-11,79
2009-12,54
2010-01,58
2010-02,85
2010-03,75
2010-04,88
2010-05,65
2010-06,60
2010-07,51
2010-08,49
2010-09,75
2010-10,80
2010-11,75
2010-12,52
2011-01,52
2011-02,80
2011-03,69
2011-04,75
2011-05,54
2011-06,50
2011-07,45
2011-08,46
2011-09,71
2011-10,74
2011-11,70
2011-12,47
2012-01,50
2012-02,76
2012-03,66
2012-04,72
2012-05,50
2012-06,46
2012-07,44
2012-08,44
2012-09,68
2012-10,71
2012-11,66
2012-12,43
2013-01,49
2013-02,72
2013-03,64
2013-04,70
2013-05,51
2013-06,46
2013-07,45
2013-08,42
2013-09,70
2013-10,79
2013-11,69
2013-12,46
2014-01,52
2014-02,76
2014-03,68
2014-04,78
2014-05,53
2014-06,47
2014-07,48
2014-08,44
2014-09,76
2014-10,82
2014-11,73
2014-12,52
2015-01,54
2015-02,81
2015-03,70
2015-04,83
2015-05,54
2015-06,55
2015-07,53
2015-08,48
2015-09,74
2015-10,84
2015-11,73
2015-12,52
2016-01,51
2016-02,82
2016-03,71
2016-04,77
2016-05,53
2016-06,48
2016-07,42
2016-08,41
2016-09,69
2016-10,73
2016-11,70
2016-12,48
2017-01,53
2017-02,85
2017-03,77
2017-04,81
2017-05,53
2017-06,45
2017-07,40
2017-08,41
2017-09,65
2017-10,75
2017-11,67
2017-12,43
2018-01,47
2018-02,71
2018-03,58
2018-04,68
2018-05,46
2018-06,40
2018-07,38
2018-08,38
2018-09,59
2018-10,67
2018-11,56
2018-12,38
2019-01,42
2019-02,65
2019-03,55
2019-04,61
2019-05,43
2019-06,40
2019-07,36
2019-08,35
2019-09,59
2019-10,62
2019-11,53
2019-12,34
2020-01,38
2020-02,58
2020-03,45
2020-04,53
