Category: All categories

Month,numpy: (United States)
2004-01,2
2004-02,2
2004-03,7
2004-04,4
2004-05,2
2004-06,0
2004-07,2
2004-08,3
2004-09,0
2004-10,2
2004-11,3
2004-12,3
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,2
2005-06,0
2005-07,2
2005-08,1
2005-09,2
2005-10,2
2005-11,2
2005-12,2
2006-01,2
2006-02,3
2006-03,6
2006-04,4
2006-05,3
2006-06,9
2006-07,6
2006-08,2
2006-09,4
2006-10,4
2006-11,6
2006-12,8
2007-01,5
2007-02,6
2007-03,5
2007-04,8
2007-05,9
2007-06,7
2007-07,8
2007-08,6
2007-09,6
2007-10,6
2007-11,8
2007-12,7
2008-01,7
2008-02,7
2008-03,8
2008-04,11
2008-05,10
2008-06,10
2008-07,11
2008-08,7
2008-09,8
2008-10,8
2008-11,10
2008-12,10
2009-01,8
2009-02,12
2009-03,11
2009-04,12
2009-05,8
2009-06,12
2009-07,15
2009-08,12
2009-09,14
2009-10,12
2009-11,11
2009-12,11
2010-01,11
2010-02,16
2010-03,14
2010-04,13
2010-05,14
2010-06,15
2010-07,13
2010-08,10
2010-09,13
2010-10,12
2010-11,14
2010-12,9
2011-01,13
2011-02,12
2011-03,16
2011-04,14
2011-05,12
2011-06,16
2011-07,14
2011-08,14
2011-09,17
2011-10,16
2011-11,16
2011-12,11
2012-01,12
2012-02,16
2012-03,17
2012-04,18
2012-05,15
2012-06,16
2012-07,18
2012-08,16
2012-09,18
2012-10,20
2012-11,20
2012-12,13
2013-01,15
2013-02,19
2013-03,24
2013-04,21
2013-05,20
2013-06,23
2013-07,22
2013-08,20
2013-09,24
2013-10,25
2013-11,23
2013-12,18
2014-01,21
2014-02,28
2014-03,28
2014-04,30
2014-05,25
2014-06,26
2014-07,28
2014-08,24
2014-09,26
2014-10,29
2014-11,31
2014-12,21
2015-01,26
2015-02,33
2015-03,36
2015-04,37
2015-05,32
2015-06,35
2015-07,41
2015-08,32
2015-09,38
2015-10,41
2015-11,38
2015-12,33
2016-01,37
2016-02,51
2016-03,42
2016-04,52
2016-05,42
2016-06,45
2016-07,42
2016-08,40
2016-09,45
2016-10,53
2016-11,57
2016-12,47
2017-01,49
2017-02,74
2017-03,75
2017-04,77
2017-05,64
2017-06,64
2017-07,60
2017-08,58
2017-09,73
2017-10,78
2017-11,82
2017-12,58
2018-01,67
2018-02,89
2018-03,82
2018-04,88
2018-05,73
2018-06,69
2018-07,74
2018-08,71
2018-09,82
2018-10,96
2018-11,85
2018-12,62
2019-01,70
2019-02,100
2019-03,89
2019-04,92
2019-05,78
2019-06,75
2019-07,82
2019-08,71
2019-09,87
2019-10,99
2019-11,85
2019-12,59
2020-01,67
2020-02,96
2020-03,79
2020-04,92
